SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
305030,-37.823719,144.919506,Holden 251 Salmon Street PORT MELBOURNE,VIC,2,3207,Within 10 metres,,KX3P
305031,-37.905061,145.208327,Power Pylon Chesterville Farm Ferntree Gully Rd SCORESBY,VIC,2,3179,Within 10 metres,,LX1M
305032,-37.826069,144.912284,HFV6 Bldg Todd Road PORT MELBOURNE,VIC,2,3207,Within 10 metres,,KX3P
305034,-38.16249,145.948819,2A Mouritz Street WARRAGUL,VIC,4,3820,Within 10 metres,133,LX4D
305035,-36.77176,147.675274,Telstra Customer Lower Tablelands Rd BENAMBRA,VIC,4,3900,Within 100 metres,723,LW9O
305036,-38.273036,144.657742,Murry Tower QUEENSCLIFF,VIC,2,3225,Within 100 metres,,KX6G
305037,-38.105929,144.378047,Comm Site CORIO QUAY,VIC,2,3214,Unknown,,KX6B
305038,-38.356731,146.709421,WIA Site Grand Ridge Road CARRAJUNG,VIC,4,3844,Within 10 metres,,LX5G
305039,-37.779129,144.910369,Hunter Stand RAS Showgrounds Langs Rd ASCOT VALE,VIC,2,3032,Within 10 metres,,KX3P
305040,-36.346775,145.376586,GOIT Wanganui Road SHEPPARTON,VIC,4,3631,Within 10 metres,,LW7F
305041,-36.339818,146.287973,GOIT Christensens Lane WANGARATTA,VIC,4,3678,Within 10 metres,,LW8F
305042,-38.070216,144.398928,Clock Tower Geelong Grammar Art School Rd CORIO,VIC,2,3214,Within 10 metres,,KX6B
305043,-37.832204,144.956309,Rooftop Carpark Markets cnr Coventry & Cecil Sts SOUTH MELBOURNE,VIC,2,3205,Within 10 metres,,KX3P
305044,-38.029483,144.477206,Building 50 Avalon Airport AVALON,VIC,2,3212,Within 10 metres,,KX6B
305045,-37.348368,144.716301,30 Glenfern Rd ROMSEY,VIC,2,3434,Within 10 metres,543,KX3G
305046,-37.364395,144.76747,Waste Water Purification Plant Portingales Ln ROMSEY,VIC,2,3434,Within 10 metres,467,KX3H
305047,-37.653469,144.794656,155 Loemans Rd BULLA,VIC,2,3428,Within 10 metres,129,KX3L
305048,-37.606662,144.768798,2 Shepherds Lane BULLA,VIC,2,3429,Within 10 metres,189,KX3L
305049,-37.452894,144.579852,Cnr Norton & Mt Macedon Rds NEW GISBORNE,VIC,2,3438,Within 10 metres,458,KX3G
305050,-37.406867,144.585401,Taylors Rd Tank off Mt Macedon Rd MT MACEDON,VIC,2,3441,Within 10 metres,554,KX3G
305051,-37.405643,144.582842,Cnr Mt Macedon & Salisbury Rds MT MACEDON,VIC,2,3441,Within 10 metres,556,KX3G
305052,-37.386484,144.602319,Pump Station Sangsters Rd MT MACEDON,VIC,2,3441,Within 10 metres,716,KX3G
305053,-37.381438,144.593444,McDonalds Tank off Mt Macedon Rd MT MACEDON,VIC,2,3441,Within 10 metres,828,KX3G
305054,-37.515644,144.684623,Cnr Settlement Rd West & Riddell Rds SUNBURY,VIC,2,3429,Within 10 metres,353,KX3K
305055,-37.43501,144.667447,Sandy Creek Rd RIDDELLS CREEK,VIC,2,3431,Within 10 metres,455,KX3G
305057,-37.634897,144.479569,Dodemaide Cct MERRIMU,VIC,2,3340,Within 10 metres,190,KX3J
305058,-37.598424,144.729062,Jacksons Hill Storage Tank The Heights SUNBURY,VIC,2,3429,Within 10 metres,282,KX3K
305059,-37.594134,144.740292,Pump Station Harker St SUNBURY,VIC,2,3429,Within 10 metres,,KX3K
305061,-38.304605,142.738874,3-WAY-FM Mast off Princes Highway MT WARRNAMBOOL,VIC,4,3265,Within 10 metres,192,KX4G
305062,-38.166137,142.954105,Indoor Equestrian Centre off Truford Road GLENORMISTON SOUTH,VIC,4,3264,Within 10 metres,,KX4D
305063,-34.233563,142.169111,2115-2117 Fifteenth Street IRYMPLE,VIC,4,3498,Within 100 metres,,KW1A
305067,-38.308043,145.182956,CFA Site 145 High St HASTINGS,VIC,2,3915,Within 10 metres,,LX4E
305068,-38.308644,145.18683,CFA Site 11 Arthur St HASTINGS,VIC,2,3915,Within 10 metres,,LX4E
305069,-36.615496,145.207602,CFA Site 930 Hammond Rd MURCHISON,VIC,4,3610,Within 100 metres,,LW7I
305079,-37.275608,140.977099,Pleasant View via Ockley Rd 12 km east of COONAWARRA,VIC,4,5277,Within 100 metres,104,JX2H
305080,-37.707352,144.938646,Hutchison Site cnr West & Geum Sts HADFIELD,VIC,2,3046,Within 100 metres,,KX3L
305081,-37.774542,145.091415,Hutchison/Vodafone Site 123A Thompsons Rd BULLEEN,VIC,2,3105,Within 10 metres,,LX1M
305082,-37.892147,145.142057,SPI Tower 1 Pinewood Shopping Centre Blackburn Road MOUNT WAVERLEY,VIC,2,3149,Within 10 metres,,LX1M
305083,-37.986522,145.252177,Hutchison Site Charles Green Reserve James Cook Drive DOVETON,VIC,2,3802,Within 10 metres,,LX1N
305084,-37.869468,144.907648,Optus Site Railway Tce WILLIAMSTOWN,VIC,2,3016,Within 10 metres,0,KX3P
305085,-37.759886,145.19651,Optus Site 258 Tindala Rd WARRANDYTE,VIC,2,3113,Within 10 metres,110,LX1M
305089,-37.933701,145.034512,860 Nepean Hwy MOORABBIN,VIC,2,3189,Within 10 metres,,LX1M
305090,-38.292527,145.009775,Optus Site Water Tower cnr Forest Drive & Hearn Rd MOUNT MARTHA,VIC,2,3934,Within 10 metres,144,LX4E
305093,-36.044001,144.570348,Silos Torrumbarry Estate Balieu Road TORRUMBARRY,VIC,4,3562,Within 10 metres,,KW9C
305097,-37.830247,144.973463,Shrine of Rememberance St Kilda Rd MELBOURNE,VIC,2,3004,Within 10 metres,,KX3P
